File,WordFreq,Fit type,R,Rmin,Rmax,dprime,dmin,dmax,AUROC
../data/18Qs0CslyhfR5XeoHYbb_responses.xlsx,AllFreq,Conf,0,6.60E-05,0.057509629,0,3.13E-05,0.089918787,0.499968329
../data/18Qs0CslyhfR5XeoHYbb_responses.xlsx,LoFreq,Conf,0,6.60E-05,0.047891276,0,3.13E-05,0.078655141,0.499968329
../data/18Qs0CslyhfR5XeoHYbb_responses.xlsx,HiFreq,Conf,0,4.07E-05,0.203769825,0,3.13E-05,0.290413651,0.499968329
../data/1ak7yQUoIX150qiE0LYe_responses.xlsx,AllFreq,Conf,0.12062513,4.07E-05,0.540117852,0.455192484,8.14E-05,0.778034378,0.671228765
../data/1ak7yQUoIX150qiE0LYe_responses.xlsx,LoFreq,Conf,0.685929195,4.07E-05,0.807239864,0,8.14E-05,1.113349474,0.842911202
../data/1ak7yQUoIX150qiE0LYe_responses.xlsx,HiFreq,Conf,0,4.08E-05,0.328074555,0.270276324,8.14E-05,0.53968146,0.575726367
../data/1OAr1dV6PSYYmDOGGm1L_responses.xlsx,AllFreq,Conf,0.528006356,4.07E-05,0.731867099,0.75700124,8.16E-05,1.550396923,0.860032713
../data/1OAr1dV6PSYYmDOGGm1L_responses.xlsx,LoFreq,Conf,0.66710422,4.07E-05,0.82304074,0.482837678,8.14E-05,1.602769798,0.877935953
../data/1OAr1dV6PSYYmDOGGm1L_responses.xlsx,HiFreq,Conf,0.338863518,4.07E-05,0.69916253,0.998379163,8.16E-05,1.615947886,0.841023882
../data/20kmkNdmxVqWCIS3cNfy_responses.xlsx,AllFreq,Conf,0.178584114,4.07E-05,0.42406285,0.635345398,0.114718533,1.033207326,0.731589606
../data/20kmkNdmxVqWCIS3cNfy_responses.xlsx,LoFreq,Conf,0.318366724,4.07E-05,0.448891729,0.049395382,3.13E-05,0.728503767,0.668635206
../data/20kmkNdmxVqWCIS3cNfy_responses.xlsx,HiFreq,Conf,0,4.07E-05,0.370494532,1.150851425,0.636890189,1.420851698,0.791805132
../data/26Y7x8Mxrs2uYKsOK6Me_responses.xlsx,AllFreq,Conf,0.429253375,0.070473293,0.572932195,0.818589065,0.344166883,1.379536893,0.839252181
../data/26Y7x8Mxrs2uYKsOK6Me_responses.xlsx,LoFreq,Conf,0.683389051,0.236819258,0.838315182,0.979671383,8.15E-05,1.850993735,0.922444971
../data/26Y7x8Mxrs2uYKsOK6Me_responses.xlsx,HiFreq,Conf,0.190598195,4.07E-05,0.377674887,0.728275416,0.242479477,1.220595086,0.754378783
../data/2BU3ABHCxKPryrTskobX_responses.xlsx,AllFreq,Conf,0,5.77E-05,0.107271903,0,3.13E-05,0.099476265,0.499968329
../data/2BU3ABHCxKPryrTskobX_responses.xlsx,LoFreq,Conf,0,6.60E-05,0.080913446,0,3.13E-05,0.083996687,0.499968329
../data/2BU3ABHCxKPryrTskobX_responses.xlsx,HiFreq,Conf,0.066300854,4.07E-05,0.256493884,0,3.13E-05,0.273220619,0.533116656
../data/35dAEhLbJITN0UNcxYTm_responses.xlsx,AllFreq,Conf,0.021210088,4.09E-05,0.094829111,0.191080496,8.15E-05,0.458028821,0.563156816
../data/35dAEhLbJITN0UNcxYTm_responses.xlsx,LoFreq,Conf,0,6.60E-05,0.05505267,0.09803835,8.16E-05,0.384527065,0.527595055
../data/35dAEhLbJITN0UNcxYTm_responses.xlsx,HiFreq,Conf,0.059954208,4.07E-05,0.188562239,0.250460838,8.14E-05,0.61936027,0.595994764
../data/3gjgXV5oRLIHsS9R4idI_responses.xlsx,AllFreq,Conf,0,4.58E-05,0.101150058,0,3.13E-05,0.103078257,0.499968329
