File,Task Condition,Fit type,R,Rmin,Rmax,dprime,dmin,dmax,AUROC,
../data/Cnu9MncTroHAKmmRY5oa_responses.xlsx,NA,NA,0.47,0.00,0.59,2.58,2.11,3.40,0.98,
../data/cTk7v32c5SOscYoWEP1b_responses.xlsx,NA,NA,0.56,0.37,0.67,1.07,0.50,1.59,0.90,
../data/cxCdkdtKXasHO7KgaAil_responses.xlsx,NA,NA,0.42,0.24,0.52,0.21,0.00,0.74,0.74,
../data/d3ENGYqtS0M2cipB7IaN_responses.xlsx,NA,NA,0.10,0.04,0.17,0.00,0.00,0.45,0.55,
../data/D95ms7JHPAGc5QDTcRtT_responses.xlsx,NA,NA,0.23,0.08,0.34,0.53,0.20,0.87,0.73,
../data/D9Yd8tC7yEfBGutCdJa9_responses.xlsx,NA,NA,0.14,0.04,0.23,0.43,0.11,0.73,0.67,
../data/Dck1yEyMxo75mFmiOP4U_responses.xlsx,NA,NA,0.13,0.00,0.33,0.00,0.00,0.33,0.57,
../data/DMy3dmyO5xKMSLkICBTR_responses.xlsx,NA,NA,0.20,0.00,0.50,0.43,0.00,0.84,0.70,
../data/Dnefkqq8eFvwxGpXu9AO_responses.xlsx,NA,NA,0.47,0.40,0.53,0.36,0.00,0.86,0.79,
../data/dpe9eGDmr3YvTipVN3Cv_responses.xlsx,NA,NA,0.39,0.28,0.49,0.25,0.00,0.69,0.74,
../data/DQKtnphD9xuu9nDWQ4QK_responses.xlsx,NA,NA,0.31,0.16,0.37,0.00,0.00,0.57,0.65,
../data/DxIVmdHVvNLygqsihrB8_responses.xlsx,NA,NA,0.04,0.00,0.12,0.00,0.00,0.24,0.52,
../data/eCGCJQtSYFO7tiNThGPV_responses.xlsx,NA,NA,0.12,0.00,0.25,0.00,0.00,0.35,0.56,
../data/ekYMQKAIWbMCbkEFYf0k_responses.xlsx,NA,NA,0.20,0.12,0.27,0.03,0.00,0.39,0.61,
../data/elo3SLTd6aahMlpv6DSJ_responses.xlsx,NA,NA,0.00,0.00,0.17,0.14,0.00,0.35,0.54,
../data/em3T90dauoSADClEIlLu_responses.xlsx,NA,NA,0.04,0.00,0.18,0.00,0.00,0.20,0.52,
../data/eNHPKmyfo0xeCsOHt8fo_responses.xlsx,NA,NA,0.00,0.00,0.56,0.53,0.00,0.75,0.65,
../data/evKrfpE7Gv7kgP2IJqm5_responses.xlsx,NA,NA,0.00,0.00,0.19,0.15,0.00,0.36,0.54,
../data/EXJFBqlx1netrbC8Jybc_responses.xlsx,NA,NA,0.04,0.00,0.42,0.45,0.00,0.70,0.64,
../data/f3pqb0lQCJ1KTNusVBCk_responses.xlsx,NA,NA,0.15,0.00,0.46,0.40,0.00,0.76,0.67,
../data/F4Inj4dUN2p819y66FMy_responses.xlsx,NA,NA,0.12,0.00,0.46,1.04,0.44,1.38,0.80,
../data/F5byVBDpa03pXVUqdAvn_responses.xlsx,NA,NA,0.00,0.00,0.46,0.22,0.00,0.47,0.56,
../data/F6NsJsSyi6HPafh2E88X_responses.xlsx,NA,NA,0.00,0.00,0.13,0.00,0.00,0.10,0.50,
../data/f7gT3xYnAXunkGPgdBFj_responses.xlsx,NA,NA,0.02,0.00,0.16,0.39,0.01,0.65,0.62,
../data/FaGYjTjXlTp7IlBQN0Rq_responses.xlsx,NA,NA,0.69,0.00,0.81,0.48,0.00,1.72,0.89,
../data/FaSlI9fBd6i3BMXHY4Yj_responses.xlsx,NA,NA,0.03,0.00,0.34,0.48,0.00,0.73,0.64,
../data/fcw3HbDUMWmThgo0nOpW_responses.xlsx,NA,NA,0.00,0.00,0.38,0.00,0.00,0.26,0.50,
../data/FEEvbEK7stuiBAnf3Sad_responses.xlsx,NA,NA,0.72,0.00,0.86,1.60,0.00,3.20,0.96,
../data/fI0bT2B8KCvOUsMH4cmO_responses.xlsx,NA,NA,0.32,0.20,0.42,0.72,0.12,1.19,0.79,
../data/fLVLDMAxrDiqOTRg1WYl_responses.xlsx,NA,NA,0.25,0.00,0.39,0.04,0.00,0.52,0.63,
../data/fMgAnF1NJ9lvbUgiWURx_responses.xlsx,NA,NA,0.22,0.05,0.34,0.25,0.00,0.68,0.67,
../data/FNkfqnyOpNtvEqN7MYfc_responses.xlsx,NA,NA,0.26,0.00,0.36,0.00,0.00,0.54,0.63,
../data/fOVJ0nYV8S8AQdOUSt3Q_responses.xlsx,NA,NA,0.69,0.00,0.78,0.00,0.00,1.17,0.85,
../data/Fr4XGLJm6EIgpNw0WyD4_responses.xlsx,NA,NA,0.00,0.00,0.03,0.26,0.00,0.59,0.57,
../data/Fsm4xsL3xyfP3uUeFBtE_responses.xlsx,NA,NA,0.05,0.00,0.15,0.12,0.00,0.42,0.56,
../data/FThcQwVl7lBbPmbqijLk_responses.xlsx,NA,NA,0.16,0.00,0.29,0.48,0.13,0.84,0.69,
../data/g3hR3K9F4Bb28KbBMUPn_responses.xlsx,NA,NA,0.00,0.00,0.07,0.00,0.00,0.06,0.50,
../data/g9GYR9WIOjvQIf2Ptry2_responses.xlsx,NA,NA,0.00,0.00,0.37,0.39,0.00,0.63,0.61,
../data/GC31FbnjdKe80uqcQH31_responses.xlsx,NA,NA,0.22,0.04,0.34,0.44,0.07,0.80,0.70,
../data/gk6eMjDNtUySn0U9wtR4_responses.xlsx,NA,NA,0.06,0.00,0.15,0.32,0.02,0.62,0.61,
../data/guHJc4v7958HPlfQyyLq_responses.xlsx,NA,NA,0.09,0.00,0.23,0.15,0.00,0.49,0.58,
../data/gwUVwxWFv1FLS2I4L9KN_responses.xlsx,NA,NA,0.00,0.00,0.03,1.33,1.07,1.60,0.83,
../data/Haj0kheBS6F8QtdMi95i_responses.xlsx,NA,NA,0.32,0.13,0.43,0.94,0.55,1.35,0.83,
../data/Hbco4qGiMfx4NgLFfwrX_responses.xlsx,NA,NA,0.00,0.00,0.37,0.15,0.00,0.37,0.54,
../data/Hc2Si80G6Y7wOn4wfWlK_responses.xlsx,NA,NA,0.15,0.00,0.32,0.32,0.00,0.77,0.65,
../data/HdfMS9EbaT0oCN8jVDpf_responses.xlsx,NA,NA,0.00,0.00,0.18,0.31,0.01,0.51,0.59,
