"File","WordFreq","AUROCnofit","R","Rmin","Rmax","dprime","dmin","dmax","AUROC","logL"
"../data/nhuEHcJYNRACSLLqGY8v_responses.xlsx","AllFreq",0.528698751387765,0.0812137233140492,0.00206037845038785,0.141419272947321,0.331021069005468,8.16071104671492e-05,0.755862474243313,0.625561295761145,-223.273820954912
"../data/nhuEHcJYNRACSLLqGY8v_responses.xlsx","LoFreq",0.535957521917226,0.106333721374273,5.9372128582952e-05,0.195281464835467,0.358542169562531,8.14766401337267e-05,0.893238289648333,0.642527717050143,-153.541551501568
"../data/nhuEHcJYNRACSLLqGY8v_responses.xlsx","HiFreq",0.521477822655925,0.0625394791641607,4.06934762000602e-05,0.134059877699829,0.262375880962814,8.16504564471672e-05,0.772790179708227,0.600203938021878,-138.368458910252
"../data/nkDhsoFTuRHSc7bd9MhC_responses.xlsx","AllFreq",0.559508915835522,0.209397391424196,4.07612774150407e-05,0.426070506167297,0.296019823548856,8.14175859143895e-05,0.75703387190414,0.670177439999406,-417.380453163182
"../data/nkDhsoFTuRHSc7bd9MhC_responses.xlsx","LoFreq",0.484465849809567,0,4.06975381227271e-05,0.116128844524428,0.000386611544352654,3.13384721580352e-05,0.245557191894986,0.500077363974015,-305.432931286157
"../data/nkDhsoFTuRHSc7bd9MhC_responses.xlsx","HiFreq",0.662229147070775,0.606973218688184,4.07021849386593e-05,0.784973168649122,0.391063329646598,8.14583724707735e-05,1.45671565424469,0.84621852126611,-283.161895517847
"../data/nKlCkq5OWso2pujfxJLD_responses.xlsx","AllFreq",0,0,4.07066515840948e-05,0.188314877830518,0.335860132208163,8.13814622195315e-05,0.640272396890569,0.593797725398417,-176.435356485889
"../data/nKlCkq5OWso2pujfxJLD_responses.xlsx","LoFreq",0,0,4.57664995810609e-05,0.165148329226596,0.0749731024748886,3.13384721580352e-05,0.441997913477826,0.52110253562887,-135.688868393166
"../data/nKlCkq5OWso2pujfxJLD_responses.xlsx","HiFreq",0,0,4.06926024267266e-05,0.353918946750317,0.591146576034822,8.14220314810127e-05,0.976267741577878,0.661921870329479,-134.641306413538
"../data/npSxykaJcxUwWf147xfI_responses.xlsx","AllFreq",0.612703245380089,0.213456078558728,4.06918286639328e-05,0.539253557450181,0.636834546712502,0.0723121697835679,1.0316000962256,0.743277614024919,-371.141773751331
"../data/npSxykaJcxUwWf147xfI_responses.xlsx","LoFreq",0.622327552332536,0.360774584353046,4.06932827628816e-05,0.690135771127646,0.556350170220728,8.13963695294366e-05,1.16428313791625,0.778078548466965,-289.473484649913
"../data/npSxykaJcxUwWf147xfI_responses.xlsx","HiFreq",0.60365763421396,0.0600466732915561,4.06928895502821e-05,0.5170860293875,0.699817349037169,0.00216380601395871,1.0154267877469,0.70814970849915,-295.908198886898
"../data/nt0l5qvfaeXG8gGXjhkj_responses.xlsx","AllFreq",0.679734221637318,0.56386225466763,0.430069999739075,0.656498438294509,0.763582729450872,0.134373819336882,1.28095194237268,0.871352973157173,-303.038297299584
"../data/nt0l5qvfaeXG8gGXjhkj_responses.xlsx","LoFreq",0.75680255110683,0.737406438262093,0.408084340351783,0.852655553958019,1.3268420680073,0.0795436429027372,2.25479896122861,0.953866175259009,-172.777426655191
"../data/nt0l5qvfaeXG8gGXjhkj_responses.xlsx","HiFreq",0.622678729405834,0.380061055334829,0.218837082335773,0.503749703197565,0.56340391896791,8.14111827677466e-05,1.12046258242506,0.785910268051794,-215.982584440107
